04-03-2022 13:02:37.477 - Debug: Logged user (:0, )
04-03-2022 13:03:01.282 - Debug: Transfer timeout  30000 (:0, )
04-03-2022 13:03:01.295 - Debug: Set timeout:  500000  Actual:  261120 (:0, )
04-03-2022 13:03:02.778 - Debug: Start setup HV (:0, )
04-03-2022 13:03:02.788 - Debug: Start setup HV (:0, )
04-03-2022 13:03:02.798 - Debug: Turn on HV (:0, )
04-03-2022 13:05:23.018 - Debug: Logged user (:0, )
04-03-2022 13:05:35.077 - Debug: Transfer timeout  30000 (:0, )
04-03-2022 13:05:35.088 - Debug: Set timeout:  500000  Actual:  261120 (:0, )
04-03-2022 13:05:37.269 - Debug: Start setup HV (:0, )
04-03-2022 13:05:37.280 - Debug: Start setup HV (:0, )
04-03-2022 13:05:37.290 - Debug: Turn on HV (:0, )
04-03-2022 13:06:07.079 - Debug: Transfer timeout  30000 (:0, )
04-03-2022 13:06:07.089 - Debug: Set timeout:  500000  Actual:  261120 (:0, )
04-03-2022 13:06:29.695 - Debug: Start setup HV (:0, )
04-03-2022 13:06:29.706 - Debug: Start setup HV (:0, )
04-03-2022 13:06:29.715 - Debug: Turn on HV (:0, )
04-03-2022 13:07:21.034 - Debug: Logged user (:0, )
04-03-2022 13:07:32.063 - Debug: Transfer timeout  30000 (:0, )
04-03-2022 13:07:32.073 - Debug: Set timeout:  500000  Actual:  261120 (:0, )
04-03-2022 13:07:38.056 - Debug: Start setup HV (:0, )
04-03-2022 13:07:38.066 - Debug: Start setup HV (:0, )
04-03-2022 13:07:38.079 - Debug: Turn on HV (:0, )
04-03-2022 13:12:53.165 - Debug: Logged user (:0, )
04-03-2022 13:13:09.878 - Debug: Set timeout:  261120  Actual:  261120 (:0, )
04-03-2022 13:13:16.319 - Debug: Start setup HV (:0, )
04-03-2022 13:13:16.331 - Debug: Start setup HV (:0, )
04-03-2022 13:13:16.342 - Debug: Turn on HV (:0, )
04-03-2022 13:14:48.972 - Debug: Set timeout:  261120  Actual:  261120 (:0, )
04-03-2022 13:14:50.469 - Debug: Start setup HV (:0, )
04-03-2022 13:14:50.480 - Debug: Start setup HV (:0, )
04-03-2022 13:14:50.490 - Debug: Turn on HV (:0, )
04-03-2022 13:15:39.019 - Debug: Start setup HV (:0, )
04-03-2022 13:16:34.291 - Debug: Start setup HV (:0, )
04-03-2022 13:16:34.302 - Debug: Start setup HV (:0, )
04-03-2022 13:16:34.313 - Debug: Turn on HV (:0, )
04-03-2022 13:17:22.826 - Debug: Start setup HV (:0, )
